tSNE_Variables_1,tSNE_Variables_2,Neuron,Indegree,Group,Biplot
8.24888230992585,-21.94677673774,I1L,199,group3,-0.0567483026026665
8.24870968887746,-21.9469177321762,I1R,199,group3,-0.0567483026026664
-3.00663661606682,19.8016064002653,I2L,27,none,-0.0475047696439574
-3.00663475764422,19.8016012059472,I2R,27,none,-0.0475047696439571
9.8359409325426,-9.51520055235997,I3,183,group3,-0.0543636381779398
9.22058193877554,-9.52598526954007,I4,180,group3,-0.0537836652351598
8.71657674896864,-9.80717033231275,I5,188,group3,-0.0553505833136936
-15.0707602917165,15.8220861269819,I6,20,none,-0.0522873140389259
5.30808678015462,-11.7213499857374,M1,201,group3,-0.0542212241906534
-5.90076185673875,25.9886194396439,M2L,21,none,-0.0680965351151351
-5.90074196108138,25.9885908878298,M2R,21,none,-0.0680965351151351
1.18111134490909,19.2666739686732,M3L,40,none,-0.0520739678814131
1.18111134899636,19.2666740440156,M3R,40,none,-0.0520739678814131
-9.17430389605938,20.0245256929009,M4,6,none,-0.059557964012316
9.20791552130573,-9.50486773971853,M5,180,group3,-0.0542029175119708
-4.69878638499935,24.734800831222,MCL,39,none,-0.0440967870847014
-4.69876963480903,24.7347079564641,MCR,39,none,-0.0440967870847014
2.18250501851434,15.1812166086477,MI,44,none,-0.0538942208573561
-3.71221310134278,2.16684083871842,NSML,102,none,-0.0664708321972937
-3.71184312958924,2.16711889722769,NSMR,102,none,-0.0664708321972937
9.86778570381486,-13.0045646767916,ADFL,197,group3,-0.0510242946741407
9.86788485040065,-13.0046667694428,ADFR,197,group3,-0.0510242946741407
5.59619125058752,26.4872597277999,ADLL,129,none,-0.0552928493840041
5.5967655805606,26.4882845444703,ADLR,129,none,-0.0552928493840041
1.57949330483291,15.3012219364588,ASEL,47,none,-0.0598391358980096
1.41379464135783,10.6104901561425,ASER,97,none,-0.0577471138539633
7.28647004362845,-16.915796901189,ASGL,202,group3,-0.0572256484837462
7.28672005758565,-16.9158303910745,ASGR,202,group3,-0.0572256484837462
2.90518915137946,5.92169760894353,ASHL,121,none,-0.0621223853302808
2.90523716975797,5.92187737002057,ASHR,121,none,-0.0621223853302808
-3.05454349683786,7.44993779454561,ASIL,83,none,-0.0500736249253937
-3.05431975523752,7.44976535883941,ASIR,83,none,-0.0500736249253937
6.2986473016472,3.04418270649046,ASJL,151,none,-0.0484679674348052
6.29847927850433,3.04443827361268,ASJR,151,none,-0.0484679674348052
7.69374287511107,-13.1654556795644,ASKL,190,group3,-0.0541808981215544
7.69376850391365,-13.1653377245424,ASKR,190,group3,-0.0541808981215544
7.904997592729,-5.57121526216087,AWAL,169,group3,-0.0615184654227945
7.90515121233672,-5.57126942042092,AWAR,169,group3,-0.0615184654227945
1.70012493289569,6.07392116421187,AWBL,115,none,-0.0585867504307354
1.70013592013103,6.07386157458003,AWBR,115,none,-0.0585867504307354
-1.1285682413504,6.40978709978195,AWCL,111,none,-0.0565367488880879
-1.12855071417689,6.40990017020981,AWCR,111,none,-0.0565367488880879
-2.91351753069063,12.6221651940827,AFDL,60,none,-0.0507799596295345
-2.9136318408928,12.6217855705964,AFDR,60,none,-0.0507799596295345
-16.422233093981,23.2148246573414,IL2DL,82,none,-0.0534194264413229
-16.7861435881603,23.0066873515647,IL2DR,82,none,-0.0534194264413229
2.51060546340867,4.16437272339728,IL2L,133,none,-0.0589433641867977
2.51060546367461,4.16437272339247,IL2R,133,none,-0.0589433641867977
-16.2271517863189,22.8451600964699,IL2VL,82,none,-0.0534194264413229
-16.5913648969588,22.6368343651781,IL2VR,82,none,-0.0534194264413229
-8.33457069087274,21.3835753072093,OLQDL,7,none,-0.0619957384628978
-9.136171987104,21.2238876927252,OLQDR,7,none,-0.0619957384628978
-8.61384079749062,22.0950491986157,OLQVL,7,none,-0.0619957384628978
-7.63929088880372,21.9738606846429,OLQVR,7,none,-0.0619957384628978
-7.67772439684156,4.85197064803478,OLLL,124,none,-0.0439084812532751
-7.6776935293372,4.85197547153689,OLLR,124,none,-0.0439084812532751
-8.67491815979124,19.2296115939665,CEPDL,2,none,-0.0551403244943583
-7.3483609222972,19.3060190315441,CEPDR,2,none,-0.0551403244943583
-7.76886007634769,18.7749780928049,CEPVL,2,none,-0.0551403244943583
-8.08217015233192,19.4985080486907,CEPVR,2,none,-0.0551403244943583
10.8904111259133,-16.4510372346281,ALML,200,group3,-0.0564430778373865
10.8904111259133,-16.4510372346281,ALMR,200,group3,-0.0564430778373865
16.8271384317224,-14.2580485185466,AVM,257,group2,0.0346236595651259
-26.6651532917458,-9.23436735587686,PVM,136,group1,0.0806125750407442
-27.2131304724611,-4.39678512472314,PLML,142,group1,0.0851706261120361
-27.2130764293195,-4.39684501552192,PLMR,142,group1,0.0851706261120361
-11.6729788388721,25.6682885619404,ALNL,81,none,-0.00905779079320602
-11.6732410727375,25.6680977567114,ALNR,81,none,-0.00905779079320602
3.42149026664861,19.6797170172671,PLNL,44,none,0.0197863248816964
2.65025589298779,19.978575082928,PLNR,44,none,0.0197863248816964
-1.33754546044031,11.5787564455606,FLPL,84,none,-0.0568392901224287
-1.3373161475683,11.5787369417624,FLPR,84,none,-0.0568392901224287
-19.7539440121704,-9.22110127718066,PVDL,151,group1,0.0761612096412439
-19.7553757693347,-9.22103337035906,PVDR,151,group1,0.0761612096412439
9.16620111530305,4.88720197851592,BAGL,140,none,-0.0631256113097465
9.1663500234751,4.88780658395944,BAGR,140,none,-0.0631256113097465
11.7557711337756,-24.7521804974912,URXL,212,group3,-0.067501604206989
11.7556747435978,-24.7521965154467,URXR,212,group3,-0.067501604206989
