Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",0,0,0,0,0,0,0,0,0
"I1R",0,0,0,0,0,0,0,0,0
"I2L",0,0,0,0,0,0,0,0,0
"I2R",0,0,0,0,0,0,0,0,0
"I3",0,0,0,0,0,0,0,0,0
"I4",0,0,0,0,0,0,0,0,0
"I5",0,0,0,0,0,0,0,0,0
"I6",0,0,0,0,0,0,0,0,0
"M1",0,60,60,0,60,60,0,2,2
"M2L",0,0,0,0,0,0,0,0,0
"M2R",0,0,0,0,0,0,0,0,0
"M3L",0,0,0,0,0,0,0,0,0
"M3R",0,0,0,0,0,0,0,0,0
"M4",0,0,0,0,0,0,0,0,0
"M5",0,0,0,0,0,0,0,0,0
"MCL",0,0,0,0,0,0,0,0,0
"MCR",0,0,0,0,0,0,0,0,0
"MI",0,0,0,0,0,0,0,0,0
"NSML",0,60,60,0,60,60,0,2,2
"NSMR",0,60,60,0,60,60,0,2,2
"ADFL",40,2,42,21,2,23,18,2,20
"ADFR",40,2,42,21,2,23,18,2,20
"ADLL",40,0,40,21,0,21,8,0,8
"ADLR",40,0,40,21,0,21,8,0,8
"ASEL",40,2,42,21,2,23,18,2,20
"ASER",40,0,40,21,0,21,18,0,18
"ASGL",0,0,0,0,0,0,0,0,0
"ASGR",0,0,0,0,0,0,0,0,0
"ASHL",0,0,0,0,0,0,0,0,0
"ASHR",0,0,0,0,0,0,0,0,0
"ASIL",40,2,42,21,2,23,18,2,20
"ASIR",40,2,42,21,2,23,18,2,20
"ASJL",39,65,104,20,63,83,17,63,80
"ASJR",39,65,104,20,63,83,17,63,80
"ASKL",40,0,40,21,0,21,18,0,18
"ASKR",40,0,40,21,0,21,18,0,18
"AWAL",60,0,60,41,0,41,38,0,38
"AWAR",60,0,60,41,0,41,38,0,38
"AWBL",40,0,40,21,0,21,18,0,18
"AWBR",40,0,40,21,0,21,18,0,18
"AWCL",40,8,48,21,6,27,18,6,24
"AWCR",40,8,48,21,6,27,18,6,24
"AFDL",0,0,0,0,0,0,0,0,0
"AFDR",0,0,0,0,0,0,0,0,0
"IL2DL",40,0,40,21,0,21,8,0,8
"IL2DR",40,0,40,21,0,21,8,0,8
"IL2L",40,0,40,21,0,21,8,0,8
"IL2R",40,0,40,21,0,21,8,0,8
"IL2VL",40,0,40,21,0,21,8,0,8
"IL2VR",40,0,40,21,0,21,8,0,8
"OLQDL",0,0,0,0,0,0,0,0,0
"OLQDR",0,0,0,0,0,0,0,0,0
"OLQVL",0,0,0,0,0,0,0,0,0
"OLQVR",0,0,0,0,0,0,0,0,0
"OLLL",0,8,8,0,6,6,0,6,6
"OLLR",0,8,8,0,6,6,0,6,6
"CEPDL",15,0,15,15,0,15,15,0,15
"CEPDR",15,0,15,15,0,15,15,0,15
"CEPVL",15,0,15,15,0,15,15,0,15
"CEPVR",15,0,15,15,0,15,15,0,15
"ALML",0,0,0,0,0,0,0,0,0
"ALMR",0,0,0,0,0,0,0,0,0
"AVM",0,0,0,0,0,0,0,0,0
"PVM",0,0,0,0,0,0,0,0,0
"PLML",0,0,0,0,0,0,0,0,0
"PLMR",0,0,0,0,0,0,0,0,0
"ALNL",0,0,0,0,0,0,0,0,0
"ALNR",0,0,0,0,0,0,0,0,0
"PLNL",0,0,0,0,0,0,0,0,0
"PLNR",0,0,0,0,0,0,0,0,0
"FLPL",40,0,40,21,0,21,18,0,18
"FLPR",40,0,40,21,0,21,18,0,18
"PVDL",0,0,0,0,0,0,0,0,0
"PVDR",0,0,0,0,0,0,0,0,0
"BAGL",40,2,42,21,2,23,8,2,10
"BAGR",40,2,42,21,2,23,8,2,10
"URXL",40,0,40,21,0,21,8,0,8
"URXR",40,0,40,21,0,21,8,0,8
"URYDL",0,0,0,0,0,0,0,0,0
"URYDR",0,0,0,0,0,0,0,0,0
"URYVL",0,0,0,0,0,0,0,0,0
"URYVR",0,0,0,0,0,0,0,0,0
"AQR",40,0,40,21,0,21,18,0,18
"PQR",0,60,60,0,9,9,0,3,3
"ADEL",0,0,0,0,0,0,0,0,0
"ADER",0,0,0,0,0,0,0,0,0
"PDEL",0,0,0,0,0,0,0,0,0
"PDER",0,0,0,0,0,0,0,0,0
"PHAL",0,60,60,0,1,1,0,1,1
"PHAR",0,60,60,0,1,1,0,1,1
"PHBL",15,0,15,7,0,7,6,0,6
"PHBR",15,0,15,7,0,7,6,0,6
"PHCL",0,0,0,0,0,0,0,0,0
"PHCR",0,0,0,0,0,0,0,0,0
"SDQL",0,0,0,0,0,0,0,0,0
"SDQR",0,0,0,0,0,0,0,0,0
"URBL",40,8,48,21,6,27,8,6,14
"URBR",40,8,48,21,6,27,8,6,14
"DVA",0,0,0,0,0,0,0,0,0
"AUAL",40,0,40,21,0,21,18,0,18
"AUAR",40,0,40,21,0,21,18,0,18
"AIAL",0,60,60,0,60,60,0,60,60
"AIAR",0,60,60,0,60,60,0,60,60
"AIBL",0,0,0,0,0,0,0,0,0
"AIBR",0,0,0,0,0,0,0,0,0
"AIYL",0,0,0,0,0,0,0,0,0
"AIYR",0,0,0,0,0,0,0,0,0
"AIZL",0,60,60,0,60,60,0,60,60
"AIZR",0,60,60,0,60,60,0,60,60
"ADAL",0,0,0,0,0,0,0,0,0
"ADAR",0,0,0,0,0,0,0,0,0
"AIML",40,0,40,21,0,21,8,0,8
"AIMR",40,0,40,21,0,21,8,0,8
"AINL",40,0,40,21,0,21,18,0,18
"AINR",40,0,40,21,0,21,18,0,18
"ALA",0,8,8,0,8,8,0,6,6
"BDUL",40,0,40,38,0,38,18,0,18
"BDUR",40,0,40,38,0,38,18,0,18
"CANL",0,0,0,0,0,0,0,0,0
"CANR",0,0,0,0,0,0,0,0,0
"RIPL",40,0,40,21,0,21,11,0,11
"RIPR",40,0,40,21,0,21,11,0,11
"RIAL",0,0,0,0,0,0,0,0,0
"RIAR",0,0,0,0,0,0,0,0,0
"RIBL",0,0,0,0,0,0,0,0,0
"RIBR",0,0,0,0,0,0,0,0,0
"RICL",0,0,0,0,0,0,0,0,0
"RICR",0,0,0,0,0,0,0,0,0
"RIFL",0,0,0,0,0,0,0,0,0
"RIFR",0,0,0,0,0,0,0,0,0
"RIGL",0,0,0,0,0,0,0,0,0
"RIGR",0,0,0,0,0,0,0,0,0
"RIH",40,0,40,21,0,21,8,0,8
"RIR",40,0,40,21,0,21,8,0,8
"RIS",0,0,0,0,0,0,0,0,0
"RMGL",40,0,40,21,0,21,18,0,18
