Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",34,127,161,28,89,117,0,8,8
"I1R",34,127,161,28,89,117,0,8,8
"I2L",34,29,63,28,27,55,0,5,5
"I2R",34,29,63,28,27,55,0,5,5
"I3",109,5,114,73,5,78,8,0,8
"I4",90,0,90,63,0,63,12,0,12
"I5",70,11,81,38,11,49,0,7,7
"I6",32,19,51,28,18,46,4,0,4
"M1",145,117,262,88,97,185,6,9,15
"M2L",70,9,79,50,9,59,6,7,13
"M2R",70,9,79,50,9,59,6,7,13
"M3L",22,9,31,18,9,27,0,7,7
"M3R",22,9,31,18,9,27,0,7,7
"M4",47,0,47,24,0,24,8,0,8
"M5",55,0,55,32,0,32,12,0,12
"MCL",0,43,43,0,23,23,0,7,7
"MCR",0,43,43,0,23,23,0,7,7
"MI",57,0,57,32,0,32,8,0,8
"NSML",96,89,185,69,88,157,12,2,14
"NSMR",96,89,185,69,88,157,12,2,14
"ADFL",64,57,121,41,54,95,34,54,88
"ADFR",64,57,121,41,54,95,34,54,88
"ADLL",109,101,210,56,65,121,32,52,84
"ADLR",109,101,210,56,65,121,32,52,84
"ASEL",52,17,69,31,17,48,28,17,45
"ASER",52,20,72,31,20,51,28,18,46
"ASGL",48,143,191,45,106,151,45,94,139
"ASGR",48,143,191,45,106,151,45,94,139
"ASHL",12,22,34,10,20,30,10,20,30
"ASHR",12,22,34,10,20,30,10,20,30
"ASIL",52,17,69,31,17,48,28,17,45
"ASIR",52,17,69,31,17,48,28,17,45
"ASJL",51,72,123,30,70,100,27,68,95
"ASJR",51,72,123,30,70,100,27,68,95
"ASKL",113,65,178,59,43,102,52,38,90
"ASKR",113,65,178,59,43,102,52,38,90
"AWAL",72,5,77,51,5,56,48,5,53
"AWAR",72,5,77,51,5,56,48,5,53
"AWBL",52,18,70,31,18,49,28,18,46
"AWBR",52,18,70,31,18,49,28,18,46
"AWCL",52,25,77,31,23,54,28,21,49
"AWCR",52,25,77,31,23,54,28,21,49
"AFDL",27,5,32,23,5,28,23,5,28
"AFDR",27,5,32,23,5,28,23,5,28
