Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",168,258,426,124,190,314,3,16,19
"I1R",168,258,426,124,190,314,3,16,19
"I2L",135,2,137,97,2,99,1,0,1
"I2R",135,2,137,97,2,99,1,0,1
"I3",177,241,418,129,175,304,6,14,20
"I4",164,240,404,116,174,290,8,14,22
"I5",183,248,431,135,182,317,8,18,26
"I6",155,2,157,107,2,109,7,0,7
"M1",129,260,389,93,192,285,4,19,23
"M2L",210,19,229,157,14,171,10,0,10
"M2R",210,19,229,157,14,171,10,0,10
"M3L",155,38,193,107,33,140,7,3,10
"M3R",155,38,193,107,33,140,7,3,10
"M4",177,7,184,128,6,134,8,0,8
"M5",148,240,388,100,174,274,6,14,20
"MCL",93,24,117,73,18,91,4,0,4
"MCR",93,24,117,73,18,91,4,0,4
"MI",155,51,206,107,44,151,7,9,16
"NSML",196,35,231,147,29,176,10,0,10
"NSMR",196,35,231,147,29,176,10,0,10
"ADFL",92,245,337,75,179,254,73,163,236
"ADFR",92,245,337,75,179,254,73,163,236
"ADLL",155,35,190,107,29,136,83,28,111
"ADLR",155,35,190,107,29,136,83,28,111
"ASEL",164,35,199,114,32,146,106,23,129
"ASER",155,81,236,107,72,179,99,61,160
"ASGL",170,262,432,122,196,318,114,177,291
"ASGR",170,262,432,122,196,318,114,177,291
"ASHL",197,127,324,144,98,242,135,88,223
"ASHR",197,127,324,144,98,242,135,88,223
"ASIL",155,70,225,107,51,158,99,48,147
"ASIR",155,70,225,107,51,158,99,48,147
"ASJL",99,146,245,76,102,178,73,88,161
"ASJR",99,146,245,76,102,178,73,88,161
"ASKL",154,253,407,106,187,293,98,173,271
"ASKR",154,253,407,106,187,293,98,173,271
"AWAL",170,229,399,122,167,289,114,149,263
"AWAR",170,229,399,122,167,289,114,149,263
"AWBL",178,115,293,130,91,221,120,80,200
"AWBR",178,115,293,130,91,221,120,80,200
"AWCL",155,109,264,107,85,192,99,78,177
"AWCR",155,109,264,107,85,192,99,78,177
"AFDL",112,65,177,76,59,135,75,57,132
"AFDR",112,65,177,76,59,135,75,57,132
"IL2DL",155,99,254,107,63,170,83,41,124
"IL2DR",155,99,254,107,63,170,83,41,124
