Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",178,264,442,130,196,326,3,16,19
"I1R",178,264,442,130,196,326,3,16,19
"I2L",159,29,188,116,27,143,1,5,6
"I2R",159,29,188,116,27,143,1,5,6
"I3",201,243,444,149,177,326,12,14,26
"I4",175,240,415,125,174,299,14,14,28
"I5",183,250,433,135,184,319,8,18,26
"I6",165,21,186,115,20,135,9,0,9
"M1",154,270,424,110,200,310,6,19,25
"M2L",219,26,245,164,21,185,12,7,19
"M2R",219,26,245,164,21,185,12,7,19
"M3L",163,45,208,113,40,153,7,10,17
"M3R",163,45,208,113,40,153,7,10,17
"M4",202,7,209,149,6,155,14,0,14
"M5",162,240,402,114,174,288,14,14,28
"MCL",93,65,158,73,39,112,4,7,11
"MCR",93,65,158,73,39,112,4,7,11
"MI",176,51,227,126,44,170,13,9,22
"NSML",213,99,312,162,92,254,16,2,18
"NSMR",213,99,312,162,92,254,16,2,18
"ADFL",145,264,409,109,196,305,100,180,280
"ADFR",145,264,409,109,196,305,100,180,280
"ADLL",196,177,373,128,129,257,97,106,203
"ADLR",196,177,373,128,129,257,97,106,203
"ASEL",180,37,217,124,34,158,114,25,139
"ASER",173,101,274,119,90,209,109,76,185
"ASGL",199,272,471,147,202,349,139,181,320
"ASGR",199,272,471,147,202,349,139,181,320
"ASHL",199,143,342,144,112,256,135,102,237
"ASHR",199,143,342,144,112,256,135,102,237
"ASIL",173,97,270,119,73,192,109,69,178
"ASIR",173,97,270,119,73,192,109,69,178
"ASJL",127,198,325,91,151,242,86,137,223
"ASJR",127,198,325,91,151,242,86,137,223
"ASKL",206,258,464,135,190,325,124,175,299
"ASKR",206,258,464,135,190,325,124,175,299
"AWAL",204,231,435,148,169,317,138,151,289
"AWAR",204,231,435,148,169,317,138,151,289
"AWBL",197,139,336,143,112,255,133,101,234
"AWBR",197,139,336,143,112,255,133,101,234
"AWCL",173,134,307,119,105,224,109,97,206
"AWCR",173,134,307,119,105,224,109,97,206
"AFDL",158,66,224,111,60,171,110,58,168
"AFDR",158,66,224,111,60,171,110,58,168
"IL2DL",170,119,289,118,82,200,90,56,146
"IL2DR",170,119,289,118,82,200,90,56,146
"IL2L",198,163,361,144,132,276,116,111,227
"IL2R",198,163,361,144,132,276,116,111,227
"IL2VL",170,119,289,118,82,200,90,56,146
"IL2VR",170,119,289,118,82,200,90,56,146
"OLQDL",211,8,219,154,7,161,125,7,132
