Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",0,15,15,0,15,15,0,0,0
"I1R",0,15,15,0,15,15,0,0,0
"I2L",0,0,0,0,0,0,0,0,0
"I2R",0,0,0,0,0,0,0,0,0
"I3",0,0,0,0,0,0,0,0,0
"I4",0,0,0,0,0,0,0,0,0
"I5",0,0,0,0,0,0,0,0,0
"I6",0,0,0,0,0,0,0,0,0
"M1",77,0,77,26,0,26,0,0,0
"M2L",0,0,0,0,0,0,0,0,0
"M2R",0,0,0,0,0,0,0,0,0
"M3L",0,0,0,0,0,0,0,0,0
"M3R",0,0,0,0,0,0,0,0,0
"M4",0,0,0,0,0,0,0,0,0
"M5",0,0,0,0,0,0,0,0,0
"MCL",0,0,0,0,0,0,0,0,0
"MCR",0,0,0,0,0,0,0,0,0
"MI",0,0,0,0,0,0,0,0,0
"NSML",0,15,15,0,15,15,0,0,0
"NSMR",0,15,15,0,15,15,0,0,0
"ADFL",0,15,15,0,15,15,0,15,15
"ADFR",0,15,15,0,15,15,0,15,15
"ADLL",0,0,0,0,0,0,0,0,0
"ADLR",0,0,0,0,0,0,0,0,0
"ASEL",0,15,15,0,15,15,0,15,15
"ASER",0,15,15,0,15,15,0,15,15
"ASGL",0,15,15,0,15,15,0,15,15
"ASGR",0,15,15,0,15,15,0,15,15
"ASHL",0,15,15,0,15,15,0,15,15
"ASHR",0,15,15,0,15,15,0,15,15
"ASIL",0,15,15,0,15,15,0,15,15
"ASIR",0,15,15,0,15,15,0,15,15
"ASJL",0,0,0,0,0,0,0,0,0
"ASJR",0,0,0,0,0,0,0,0,0
"ASKL",0,15,15,0,15,15,0,15,15
"ASKR",0,15,15,0,15,15,0,15,15
"AWAL",0,0,0,0,0,0,0,0,0
"AWAR",0,0,0,0,0,0,0,0,0
"AWBL",0,15,15,0,15,15,0,15,15
"AWBR",0,15,15,0,15,15,0,15,15
