Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",123,154,277,96,111,207,3,8,11
"I1R",123,154,277,96,111,207,3,8,11
"I2L",85,29,114,73,27,100,1,5,6
"I2R",85,29,114,73,27,100,1,5,6
"I3",135,40,175,99,34,133,8,0,8
"I4",96,7,103,69,6,75,12,0,12
"I5",102,43,145,69,40,109,2,13,15
"I6",43,21,64,39,20,59,4,0,4
"M1",151,159,310,94,115,209,6,13,19
"M2L",188,26,214,134,21,155,8,7,15
"M2R",188,26,214,134,21,155,8,7,15
"M3L",37,45,82,33,40,73,0,10,10
"M3R",37,45,82,33,40,73,0,10,10
"M4",146,7,153,99,6,105,9,0,9
"M5",55,2,57,32,2,34,12,0,12
"MCL",93,65,158,73,39,112,4,7,11
"MCR",93,65,158,73,39,112,4,7,11
"MI",81,51,132,55,44,99,8,9,17
"NSML",175,109,284,131,102,233,13,2,15
"NSMR",175,109,284,131,102,233,13,2,15
"ADFL",145,106,251,109,93,202,100,89,189
"ADFR",145,106,251,109,93,202,100,89,189
"ADLL",124,177,301,71,129,200,47,106,153
"ADLR",124,177,301,71,129,200,47,106,153
"ASEL",83,50,133,58,47,105,55,38,93
"ASER",67,109,176,46,97,143,43,83,126
"ASGL",107,221,328,94,163,257,94,147,241
"ASGR",107,221,328,94,163,257,94,147,241
"ASHL",150,152,302,98,121,219,95,111,206
"ASHR",150,152,302,98,121,219,95,111,206
"ASIL",67,107,174,46,83,129,43,79,122
"ASIR",67,107,174,46,83,129,43,79,122
"ASJL",127,198,325,91,151,242,86,137,223
"ASJR",127,198,325,91,151,242,86,137,223
"ASKL",128,127,255,74,93,167,67,85,152
"ASKR",128,127,255,74,93,167,67,85,152
"AWAL",120,231,351,93,169,262,90,151,241
"AWAR",120,231,351,93,169,262,90,151,241
"AWBL",149,142,291,107,115,222,100,104,204
"AWBR",149,142,291,107,115,222,100,104,204
"AWCL",67,140,207,46,111,157,43,103,146
"AWCR",67,140,207,46,111,157,43,103,146
"AFDL",68,66,134,56,60,116,56,58,114
"AFDR",68,66,134,56,60,116,56,58,114
"IL2DL",66,119,185,45,82,127,32,56,88
"IL2DR",66,119,185,45,82,127,32,56,88
"IL2L",156,164,320,112,133,245,89,112,201
"IL2R",156,164,320,112,133,245,89,112,201
"IL2VL",66,119,185,45,82,127,32,56,88
"IL2VR",66,119,185,45,82,127,32,56,88
