Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",102,262,364,66,192,258,0,16,16
"I1R",102,262,364,66,192,258,0,16,16
"I2L",102,0,102,66,0,66,0,0,0
"I2R",102,0,102,66,0,66,0,0,0
"I3",148,248,396,100,180,280,6,15,21
"I4",148,248,396,100,180,280,6,15,21
"I5",148,248,396,100,180,280,6,15,21
"I6",149,0,149,101,0,101,7,0,7
"M1",143,248,391,97,180,277,6,15,21
"M2L",149,0,149,101,0,101,7,0,7
"M2R",149,0,149,101,0,101,7,0,7
"M3L",149,0,149,101,0,101,7,0,7
"M3R",149,0,149,101,0,101,7,0,7
"M4",149,0,149,101,0,101,7,0,7
"M5",148,248,396,100,180,280,6,15,21
"MCL",0,0,0,0,0,0,0,0,0
"MCR",0,0,0,0,0,0,0,0,0
"MI",149,0,149,101,0,101,7,0,7
"NSML",149,0,149,101,0,101,7,0,7
"NSMR",149,0,149,101,0,101,7,0,7
"ADFL",0,249,249,0,181,181,0,166,166
"ADFR",0,249,249,0,181,181,0,166,166
"ADLL",149,0,149,101,0,101,77,0,77
"ADLR",149,0,149,101,0,101,77,0,77
"ASEL",149,0,149,101,0,101,93,0,93
"ASER",149,0,149,101,0,101,93,0,93
"ASGL",148,248,396,100,180,280,92,165,257
"ASGR",148,248,396,100,180,280,92,165,257
"ASHL",149,0,149,101,0,101,93,0,93
"ASHR",149,0,149,101,0,101,93,0,93
"ASIL",149,0,149,101,0,101,93,0,93
"ASIR",149,0,149,101,0,101,93,0,93
"ASJL",0,0,0,0,0,0,0,0,0
"ASJR",0,0,0,0,0,0,0,0,0
"ASKL",148,248,396,100,180,280,92,165,257
"ASKR",148,248,396,100,180,280,92,165,257
"AWAL",149,0,149,101,0,101,93,0,93
"AWAR",149,0,149,101,0,101,93,0,93
"AWBL",149,0,149,101,0,101,93,0,93
"AWBR",149,0,149,101,0,101,93,0,93
"AWCL",149,0,149,101,0,101,93,0,93
"AWCR",149,0,149,101,0,101,93,0,93
"AFDL",102,0,102,66,0,66,65,0,65
"AFDR",102,0,102,66,0,66,65,0,65
"IL2DL",149,0,149,101,0,101,77,0,77
"IL2DR",149,0,149,101,0,101,77,0,77
"IL2L",149,0,149,101,0,101,77,0,77
"IL2R",149,0,149,101,0,101,77,0,77
"IL2VL",149,0,149,101,0,101,77,0,77
"IL2VR",149,0,149,101,0,101,77,0,77
"OLQDL",149,0,149,101,0,101,77,0,77
"OLQDR",149,0,149,101,0,101,77,0,77
