Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",168,215,383,11,18,29
"I1R",168,215,383,11,18,29
"I2L",143,67,210,5,6,11
"I2R",143,67,210,5,6,11
"I3",186,203,389,14,17,31
"I4",196,205,401,19,17,36
"I5",184,211,395,14,19,33
"I6",187,91,278,19,7,26
"M1",178,216,394,17,21,38
"M2L",203,87,290,18,14,32
"M2R",203,87,290,18,14,32
"M3L",174,152,326,12,19,31
"M3R",174,152,326,12,19,31
"M4",211,8,219,18,0,18
"M5",169,205,374,17,17,34
"MCL",178,115,293,12,14,26
"MCR",178,115,293,12,14,26
"MI",168,89,257,15,9,24
"NSML",190,160,350,16,6,22
"NSMR",190,160,350,16,6,22
"ADFL",192,222,414,177,201,378
"ADFR",192,222,414,177,201,378
"ADLL",178,191,369,144,157,301
"ADLR",178,191,369,144,157,301
"ASEL",169,151,320,159,138,297
"ASER",171,189,360,157,171,328
"ASGL",187,222,409,177,201,378
"ASGR",187,222,409,177,201,378
"ASHL",202,162,364,185,152,337
"ASHR",202,162,364,185,152,337
"ASIL",180,125,305,170,121,291
"ASIR",180,125,305,170,121,291
"ASJL",116,186,302,108,166,274
"ASJR",116,186,302,108,166,274
"ASKL",200,221,421,185,200,385
"ASKR",200,221,421,185,200,385
"AWAL",189,197,386,179,179,358
"AWAR",189,197,386,179,179,358
"AWBL",189,153,342,176,141,317
"AWBR",189,153,342,176,141,317
"AWCL",166,156,322,156,147,303
"AWCR",166,156,322,156,147,303
"AFDL",173,72,245,163,70,233
"AFDR",173,72,245,163,70,233
"IL2DL",174,212,386,137,171,308
"IL2DR",174,212,386,137,171,308
"IL2L",190,179,369,153,144,297
"IL2R",190,179,369,153,144,297
"IL2VL",174,212,386,137,171,308
"IL2VR",174,212,386,137,171,308
"OLQDL",199,207,406,163,168,331
"OLQDR",199,207,406,163,168,331
"OLQVL",199,207,406,163,168,331
"OLQVR",199,207,406,163,168,331
"OLLL",183,154,337,147,125,272
"OLLR",183,154,337,147,125,272
"CEPDL",175,204,379,146,166,312
"CEPDR",175,204,379,146,166,312
"CEPVL",175,204,379,146,166,312
"CEPVR",175,204,379,146,166,312
"ALML",155,212,367,130,169,299
"ALMR",155,212,367,130,169,299
"AVM",252,282,534,236,258,494
"PVM",124,147,271,95,118,213
"PLML",125,153,278,94,118,212
