Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range,Outdegree_Syn,Indegree_Syn,Degree_Syn,Degree_GJ,Outdegree_Mon,Indegree_Mon,Degree_Mon
"I1L",178,269,447,130,199,329,3,16,19,10,1,11,7,0,17,17
"I1R",178,269,447,130,199,329,3,16,19,10,1,11,7,0,17,17
"I2L",159,29,188,116,27,143,1,5,6,6,1,7,3,0,15,15
"I2R",159,29,188,116,27,143,1,5,6,6,1,7,3,0,15,15
"I3",201,251,452,149,183,332,12,15,27,13,1,14,4,0,17,17
"I4",175,248,423,125,180,305,14,15,29,5,4,9,2,0,9,9
"I5",183,256,439,135,188,323,8,19,27,8,5,13,4,132,14,146
"I6",165,21,186,115,20,135,9,0,9,5,5,10,2,0,7,7
"M1",197,271,468,129,201,330,10,19,29,10,10,20,5,0,19,19
"M2L",219,26,245,164,21,185,12,7,19,0,4,4,7,0,9,9
"M2R",219,26,245,164,21,185,12,7,19,0,4,4,9,0,9,9
"M3L",163,45,208,113,40,153,7,10,17,0,10,10,5,0,11,11
"M3R",163,45,208,113,40,153,7,10,17,0,10,10,5,0,11,11
"M4",202,7,209,149,6,155,14,0,14,1,5,6,4,0,11,11
"M5",162,248,410,114,180,294,14,15,29,2,2,4,5,0,7,7
"MCL",93,65,158,73,39,112,4,7,11,0,6,6,5,0,9,9
"MCR",93,65,158,73,39,112,4,7,11,0,4,4,5,0,9,9
"MI",176,51,227,126,44,170,13,9,22,6,0,6,12,0,9,9
"NSML",213,109,322,162,102,264,16,2,18,4,8,12,0,132,8,140
"NSMR",213,109,322,162,102,264,16,2,18,4,8,12,0,132,8,140
"ADFL",145,265,410,109,197,306,100,180,280,8,2,10,1,132,16,148
"ADFR",145,265,410,109,197,306,100,180,280,13,8,21,2,132,16,148
"ADLL",196,177,373,128,129,257,97,106,203,16,3,19,4,0,7,7
"ADLR",196,177,373,128,129,257,97,106,203,15,2,17,1,0,7,7
"ASEL",180,50,230,124,47,171,114,38,152,9,8,17,0,0,4,4
"ASER",173,109,282,119,97,216,109,83,192,11,10,21,0,0,2,2
"ASGL",199,272,471,147,202,349,139,181,320,4,3,7,2,0,11,11
"ASGR",199,272,471,147,202,349,139,181,320,3,6,9,2,0,11,11
"ASHL",199,152,351,144,121,265,135,111,246,12,6,18,5,0,17,17
"ASHR",199,152,351,144,121,265,135,111,246,13,8,21,6,0,17,17
"ASIL",173,107,280,119,83,202,109,79,188,8,0,8,2,0,0,0
"ASIR",173,107,280,119,83,202,109,79,188,7,0,7,2,0,0,0
"ASJL",127,198,325,91,151,242,86,137,223,4,2,6,1,0,2,2
"ASJR",127,198,325,91,151,242,86,137,223,3,2,5,1,0,2,2
"ASKL",206,260,466,135,190,325,124,175,299,3,9,12,3,0,12,12
"ASKR",206,260,466,135,190,325,124,175,299,5,3,8,4,0,12,12
"AWAL",204,231,435,148,169,317,138,151,289,7,1,8,2,0,0,0
"AWAR",204,231,435,148,169,317,138,151,289,11,5,16,3,0,0,0
"AWBL",197,142,339,143,115,258,133,104,237,6,4,10,3,0,0,0
"AWBR",197,142,339,143,115,258,133,104,237,8,5,13,4,0,0,0
"AWCL",173,140,313,119,111,230,109,103,212,9,7,16,0,0,4,4
"AWCR",173,140,313,119,111,230,109,103,212,7,9,16,0,0,4,4
"AFDL",158,66,224,111,60,171,110,58,168,2,3,5,2,0,0,0
"AFDR",158,66,224,111,60,171,110,58,168,2,5,7,2,0,0,0
"IL2DL",170,119,289,118,82,200,90,56,146,8,0,8,0,0,7,7
"IL2DR",170,119,289,118,82,200,90,56,146,9,0,9,0,0,7,7
"IL2L",198,164,362,144,133,277,116,112,228,12,3,15,1,0,9,9
"IL2R",198,164,362,144,133,277,116,112,228,10,3,13,3,0,9,9
"IL2VL",170,119,289,118,82,200,90,56,146,11,1,12,0,0,7,7
"IL2VR",170,119,289,118,82,200,90,56,146,10,2,12,0,0,7,7
"OLQDL",211,8,219,154,7,161,125,7,132,3,6,9,5,0,10,10
"OLQDR",211,8,219,154,7,161,125,7,132,5,6,11,6,0,10,10
"OLQVL",211,8,219,154,7,161,125,7,132,7,6,13,6,0,10,10
"OLQVR",211,8,219,154,7,161,125,7,132,7,5,12,5,0,10,10
"OLLL",124,167,291,85,124,209,65,101,166,13,4,17,3,0,12,12
"OLLR",124,167,291,85,124,209,65,101,166,14,9,23,3,0,12,12
"CEPDL",178,2,180,126,2,128,100,2,102,17,6,23,2,174,9,183
"CEPDR",178,2,180,126,2,128,100,2,102,20,7,27,2,174,9,183
"CEPVL",178,2,180,126,2,128,100,2,102,12,5,17,2,174,9,183
"CEPVR",178,2,180,126,2,128,100,2,102,14,6,20,2,174,9,183
"ALML",163,265,428,113,200,313,89,161,250,10,4,14,2,0,12,12
"ALMR",163,265,428,113,200,313,89,161,250,6,1,7,1,0,12,12
"AVM",207,263,470,203,257,460,190,235,425,14,2,16,3,0,12,12
"PVM",218,277,495,106,136,242,91,107,198,7,2,9,3,0,12,12
"PLML",163,265,428,103,142,245,86,107,193,1,0,1,3,0,10,10
"PLMR",163,265,428,103,142,245,86,107,193,10,1,11,3,0,10,10
"ALNL",18,106,124,18,81,99,15,49,64,3,3,6,1,0,4,4
"ALNR",18,106,124,18,81,99,15,49,64,6,2,8,0,0,4,4
"PLNL",128,44,172,128,44,172,125,39,164,2,1,3,0,0,2,2
"PLNR",128,44,172,128,44,172,125,39,164,2,0,2,0,0,2,2
"FLPL",201,96,297,147,84,231,137,80,217,12,6,18,4,0,19,19
"FLPR",201,96,297,147,84,231,137,80,217,15,3,18,3,0,19,19
"PVDL",196,274,470,112,151,263,93,120,213,6,2,8,0,0,19,19
"PVDR",196,274,470,112,151,263,93,120,213,7,0,7,0,0,19,19
"BAGL",240,188,428,167,140,307,135,115,250,10,3,13,3,0,11,11
"BAGR",240,188,428,167,140,307,135,115,250,6,8,14,3,0,11,11
"URXL",242,291,533,185,212,397,150,169,319,9,5,14,1,0,9,9
"URXR",242,291,533,185,212,397,150,169,319,11,7,18,2,0,9,9
"URYDL",181,37,218,119,35,154,93,35,128,6,4,10,2,0,2,2
"URYDR",181,37,218,119,35,154,93,35,128,6,2,8,2,0,2,2
"URYVL",181,37,218,119,35,154,93,35,128,11,1,12,2,0,2,2
"URYVR",181,37,218,119,35,154,93,35,128,10,2,12,2,0,2,2
"AQR",222,276,498,167,197,364,154,179,333,14,5,19,7,0,2,2
"PQR",232,289,521,117,156,273,96,129,225,7,4,11,1,0,0,0
"ADEL",184,10,194,136,9,145,110,9,119,26,5,31,2,175,0,175
"ADER",184,10,194,136,9,145,110,9,119,20,8,28,1,175,0,175
"PDEL",126,10,136,67,4,71,50,4,54,7,7,14,3,174,7,181
"PDER",126,10,136,67,4,71,50,4,54,4,7,11,4,174,7,181
"PHAL",174,105,279,35,14,49,28,11,39,10,2,12,1,0,10,10
"PHAR",174,105,279,35,14,49,28,11,39,8,1,9,2,0,10,10
"PHBL",163,33,196,33,15,48,26,13,39,6,4,10,1,0,2,2
"PHBR",163,33,196,33,15,48,26,13,39,10,3,13,2,0,2,2
"PHCL",80,17,97,24,8,32,21,8,29,6,2,8,4,0,0,0
"PHCR",80,17,97,24,8,32,21,8,29,7,0,7,3,0,0,0
"SDQL",218,268,486,218,260,478,119,159,278,9,2,11,1,0,2,2
"SDQR",218,268,486,218,260,478,119,159,278,9,0,9,6,0,2,2
"URBL",228,280,508,155,210,365,119,169,288,8,3,11,2,0,19,19
"URBR",228,280,508,155,210,365,119,169,288,11,2,13,3,0,19,19
"DVA",218,280,498,218,280,498,206,258,464,35,19,54,5,0,11,11
"AUAL",219,117,336,164,95,259,150,85,235,5,6,11,3,0,7,7
"AUAR",219,117,336,164,95,259,150,85,235,6,7,13,3,0,7,7
"AIAL",222,168,390,164,128,292,152,122,274,12,13,25,3,0,10,10
"AIAR",222,168,390,164,128,292,152,122,274,10,11,21,4,0,10,10
"AIBL",90,269,359,43,201,244,36,182,218,13,24,37,6,0,17,17
"AIBR",90,269,359,43,201,244,36,182,218,11,25,36,8,0,17,17
"AIYL",238,274,512,177,206,383,164,187,351,7,9,16,2,0,9,9
"AIYR",238,274,512,177,206,383,164,187,351,6,8,14,2,0,9,9
"AIZL",174,275,449,122,205,327,114,184,298,12,11,23,3,0,19,19
"AIZR",174,275,449,122,205,327,114,184,298,11,11,22,4,0,19,19
"ADAL",240,173,413,168,131,299,136,109,245,14,8,22,5,0,8,8
"ADAR",240,173,413,168,131,299,136,109,245,12,9,21,5,0,8,8
"AIML",216,274,490,146,204,350,115,163,278,16,2,18,1,0,9,9
"AIMR",216,274,490,146,204,350,115,163,278,13,2,15,0,0,9,9
"AINL",116,212,328,91,150,241,83,136,219,7,0,7,4,0,11,11
"AINR",116,212,328,91,150,241,83,136,219,10,2,12,3,0,11,11
"ALA",209,267,476,209,267,476,157,202,359,5,2,7,1,0,10,10
"BDUL",245,264,509,237,256,493,161,177,338,8,6,14,0,0,17,17
"BDUR",245,264,509,237,256,493,161,177,338,11,6,17,0,0,17,17
"CANL",195,274,469,111,143,254,5,5,10,0,0,0,0,0,2,2
"CANR",195,274,469,111,143,254,5,5,10,0,0,0,0,0,2,2
"RIPL",167,99,266,115,62,177,96,46,142,2,14,16,3,0,17,17
"RIPR",167,99,266,115,62,177,96,46,142,2,13,15,3,0,17,17
"RIAL",0,264,264,0,199,199,0,180,180,15,27,42,0,0,15,15
"RIAR",0,264,264,0,199,199,0,180,180,18,26,44,0,0,15,15
"RIBL",208,265,473,142,198,340,132,179,311,10,19,29,15,0,2,2
"RIBR",208,265,473,142,198,340,132,179,311,10,15,25,15,0,2,2
"RICL",190,268,458,124,198,322,116,179,295,12,11,23,4,121,10,131
"RICR",190,268,458,124,198,322,116,179,295,8,14,22,2,121,10,131
"RIFL",179,70,249,128,64,192,117,55,172,7,6,13,2,0,2,2
"RIFR",179,70,249,128,64,192,117,55,172,13,7,20,1,0,2,2
"RIGL",190,269,459,137,199,336,129,178,307,11,13,24,14,0,19,19
"RIGR",190,269,459,137,199,336,129,178,307,7,12,19,11,0,19,19
"RIH",216,278,494,159,208,367,131,167,298,24,12,36,6,0,9,9
"RIR",197,259,456,139,191,330,111,155,266,14,10,24,2,0,7,7
"RIS",213,181,394,145,130,275,137,125,262,19,8,27,8,0,15,15
"RMGL",208,153,361,155,115,270,144,105,249,19,8,27,7,0,2,2
"RMGR",208,153,361,155,115,270,144,105,249,14,8,22,6,0,2,2
"AVFL",142,274,416,142,274,416,142,254,396,15,12,27,4,0,8,8
"AVFR",142,274,416,142,274,416,142,254,396,12,10,22,4,0,8,8
"AVG",173,54,227,173,54,227,129,38,167,17,5,22,2,0,9,9
"AVHL",216,169,385,216,169,385,203,158,361,17,11,28,4,0,17,17
"AVHR",216,169,385,216,169,385,203,158,361,16,10,26,3,0,17,17
"AVJL",167,62,229,167,62,229,158,49,207,14,21,35,6,0,9,9
"AVJR",167,62,229,167,62,229,158,49,207,12,18,30,2,0,9,9
"AVKL",280,267,547,280,267,547,258,247,505,14,13,27,14,0,10,10
"AVKR",280,267,547,280,267,547,258,247,505,10,9,19,9,0,10,10
"AVL",204,91,295,204,89,293,193,88,281,12,15,27,3,0,9,9
"DVB",115,116,231,62,50,112,51,45,96,7,0,7,4,0,15,15
"DVC",166,94,260,166,94,260,159,88,247,14,10,24,8,0,2,2
"PVNL",209,258,467,209,258,467,197,238,435,19,8,27,2,0,15,15
"PVNR",209,258,467,209,258,467,197,238,435,22,11,33,1,0,15,15
"PVPL",165,270,435,165,270,435,156,248,404,11,5,16,11,0,2,2
"PVPR",165,270,435,165,270,435,156,248,404,18,7,25,6,0,2,2
"PVQL",248,279,527,248,279,527,237,258,495,5,8,13,3,0,4,4
"PVQR",248,279,527,248,279,527,237,258,495,13,9,22,5,0,4,4
"PVR",244,282,526,244,282,526,233,260,493,22,9,31,5,0,10,10
"PVT",241,287,528,241,287,528,229,267,496,13,14,27,6,0,9,9
"PVWL",208,260,468,118,141,259,99,114,213,4,5,9,1,0,17,17
"PVWR",208,260,468,118,141,259,99,114,213,5,2,7,1,0,17,17
"RID",224,270,494,216,264,480,178,212,390,7,5,12,6,0,12,12
"PVCL",208,272,480,208,272,480,195,250,445,32,27,59,8,0,11,11
"PVCR",208,272,480,208,272,480,195,250,445,32,26,58,11,0,11,11
"AVAL",211,280,491,207,272,479,194,250,444,37,53,90,40,0,10,10
"AVAR",211,280,491,207,272,479,194,250,444,49,49,98,34,0,10,10
"AVBL",207,266,473,207,258,465,194,236,430,20,40,60,24,0,17,17
"AVBR",207,266,473,207,258,465,194,236,430,15,38,53,29,0,17,17
"AVDL",171,276,447,169,268,437,156,246,402,19,27,46,4,0,19,19
"AVDR",171,276,447,169,268,437,156,246,402,24,33,57,4,0,19,19
