GeneGPCR,GeneLigand
AEX-2,NLP-40
CKR-1,NLP-12
CKR-2,NLP-12
DMSR-1,FLP-10
DMSR-1,FLP-11
DMSR-1,FLP-12
DMSR-1,FLP-13
DMSR-1,FLP-16
DMSR-1,FLP-17
DMSR-1,FLP-25
DMSR-1,FLP-28
DMSR-1,FLP-33
DMSR-1,FLP-4
DMSR-1,FLP-9
DMSR-2,NLP-13
DMSR-3,FLP-14
DMSR-5,FLP-1
DMSR-6,FLP-1
DMSR-7,FLP-1
DMSR-7,FLP-11
DMSR-7,FLP-13
DMSR-7,FLP-16
DMSR-7,FLP-23
DMSR-7,FLP-27
DMSR-7,FLP-4
DMSR-7,FLP-5
DMSR-7,FLP-7
DMSR-7,FLP-9
DMSR-8,FLP-12
EGL-6,FLP-10
EGL-6,FLP-17
EGL-6,FLP-4
EGL-6,FLP-5
EGL-6,FLP-6
EGL-6,FLP-9
FRPR-15,FLP-8
FRPR-16,FLP-3
FRPR-18,FLP-2
FRPR-19,FLP-14
FRPR-19,FLP-8
FRPR-3,FLP-20
FRPR-6,FLP-33
FRPR-7,FLP-1
FRPR-8,FLP-10
FRPR-8,FLP-11
FRPR-8,FLP-12
FRPR-8,FLP-13
FRPR-8,FLP-14
FRPR-8,FLP-16
FRPR-8,FLP-17
FRPR-8,FLP-25
FRPR-8,FLP-32
FRPR-8,FLP-4
FRPR-8,FLP-8
FRPR-8,FLP-9
FRPR-9,FLP-19
GNRR-1,NLP-47
GNRR-3,NLP-23
GNRR-6,NLP-2
GNRR-6,NLP-22
GNRR-6,NLP-23
NMUR-1,NLP-44
NMUR-2,NLP-44
NPR-1,FLP-21
NPR-10,FLP-3
NPR-11,FLP-34
NPR-2,FLP-21
NPR-22,NLP-72
NPR-3,FLP-15
NPR-32,NLP-64
NPR-34,SNET-1
NPR-35,NLP-10
NPR-37,NLP-17
NPR-39,FLP-14
NPR-39,FLP-8
NPR-4,FLP-18
NPR-40,FLP-14
NPR-40,FLP-8
NPR-41,NLP-13
NPR-42,NLP-3
NPR-43,NLP-17
NPR-5,FLP-18
NPR-8,FLP-27
NTR-1,FLP-8
NTR-1,NTC-1
PDFR-1,NLP-37
SEB-3,NLP-49
SPRR-1,NLP-42
SPRR-2,NLP-38
TKR-1,NLP-58
TKR-2,NLP-58
TRHR-1,NLP-54
