NLP-40 AEX-2
NLP-12 CKR-1
NLP-12 CKR-2
FLP-11 DMSR-1
FLP-13 DMSR-1
FLP-25 DMSR-1
NLP-13 DMSR-2
FLP-14 DMSR-3
FLP-1 DMSR-5
FLP-1 DMSR-6
FLP-1 DMSR-7
FLP-23 DMSR-7
FLP-4 DMSR-7
FLP-5 DMSR-7
FLP-12 DMSR-8
FLP-10 EGL-6
FLP-17 EGL-6
FLP-8 FRPR-15
FLP-3 FRPR-16
FLP-2 FRPR-18
FLP-14 FRPR-19
FLP-20 FRPR-3
FLP-1 FRPR-7
FLP-12 FRPR-8
FLP-13 FRPR-8
FLP-17 FRPR-8
FLP-25 FRPR-8
FLP-4 FRPR-8
FLP-9 FRPR-8
FLP-19 FRPR-9
NLP-2 GNRR-6
NLP-22 GNRR-6
NLP-44 NMUR-1
NLP-44 NMUR-2
FLP-21 NPR-1
FLP-34 NPR-11
FLP-21 NPR-2
NLP-72 NPR-22
FLP-15 NPR-3
SNET-1 NPR-34
NLP-17 NPR-37
FLP-18 NPR-4
FLP-18 NPR-5
FLP-27 NPR-8
FLP-8 NTR-1
NTC-1 NTR-1
NLP-42 SPRR-1
NLP-38 SPRR-2
NLP-58 TKR-1
NLP-54 TRHR-1
