GeneGPCR,GeneLigand
AEX-2,NLP-40
CKR-1,NLP-12
CKR-2,NLP-12
DMSR-1,FLP-11
DMSR-1,FLP-13
DMSR-1,FLP-25
DMSR-2,NLP-13
DMSR-3,FLP-14
DMSR-5,FLP-1
DMSR-6,FLP-1
DMSR-7,FLP-1
DMSR-7,FLP-23
DMSR-7,FLP-4
DMSR-7,FLP-5
DMSR-8,FLP-12
EGL-6,FLP-10
EGL-6,FLP-17
FRPR-15,FLP-8
FRPR-16,FLP-3
FRPR-18,FLP-2
FRPR-19,FLP-14
FRPR-3,FLP-20
FRPR-7,FLP-1
FRPR-8,FLP-12
FRPR-8,FLP-13
FRPR-8,FLP-17
FRPR-8,FLP-25
FRPR-8,FLP-4
FRPR-8,FLP-9
FRPR-9,FLP-19
GNRR-6,NLP-2
GNRR-6,NLP-22
NMUR-1,NLP-44
NMUR-2,NLP-44
NPR-1,FLP-21
NPR-11,FLP-34
NPR-2,FLP-21
NPR-22,NLP-72
NPR-3,FLP-15
NPR-34,SNET-1
NPR-37,NLP-17
NPR-4,FLP-18
NPR-5,FLP-18
NPR-8,FLP-27
NTR-1,FLP-8
NTR-1,NTC-1
SPRR-1,NLP-42
SPRR-2,NLP-38
TKR-1,NLP-58
TRHR-1,NLP-54
