Degree,Phi_norm,Phi,Phi_rand,Stdev
1.000000,1.000000,0.371026,0.371026,0.000000
2.000000,1.000000,0.371026,0.371026,0.000000
3.000000,1.000000,0.371026,0.371026,0.000000
4.000000,1.000000,0.371026,0.371026,0.000000
5.000000,1.000000,0.371026,0.371026,0.000000
6.000000,1.000000,0.375864,0.375864,0.000000
7.000000,1.000000,0.375864,0.375864,0.000000
8.000000,1.000000,0.375864,0.375864,0.000000
9.000000,1.000000,0.375864,0.375864,0.000000
10.000000,1.000059,0.380731,0.380709,0.000000
11.000000,1.000059,0.380731,0.380709,0.000000
12.000000,1.000059,0.380731,0.380709,0.000000
13.000000,1.000059,0.385605,0.385582,0.000000
14.000000,1.000059,0.385605,0.385582,0.000000
15.000000,1.000059,0.385605,0.385582,0.000000
16.000000,1.000119,0.388066,0.388020,0.000000
17.000000,1.000119,0.388066,0.388020,0.000000
18.000000,1.000178,0.390530,0.390460,0.000000
19.000000,1.000297,0.395507,0.395389,0.000002
20.000000,1.000297,0.395507,0.395389,0.000002
21.000000,1.001133,0.405911,0.405452,0.000002
22.000000,1.001521,0.408640,0.408020,0.000003
23.000000,1.001521,0.408640,0.408020,0.000003
24.000000,1.001521,0.408640,0.408020,0.000003
25.000000,1.001521,0.408640,0.408020,0.000003
26.000000,1.001521,0.408640,0.408020,0.000003
27.000000,1.002931,0.416911,0.415693,0.000004
28.000000,1.002931,0.416911,0.415693,0.000004
29.000000,1.004948,0.425623,0.423527,0.000005
30.000000,1.004948,0.425623,0.423527,0.000005
31.000000,1.004948,0.425623,0.423527,0.000005
32.000000,1.004948,0.425623,0.423527,0.000005
33.000000,1.004948,0.425623,0.423527,0.000005
34.000000,1.005853,0.428623,0.426128,0.000005
35.000000,1.005853,0.428623,0.426128,0.000005
36.000000,1.005853,0.428623,0.426128,0.000005
37.000000,1.005853,0.428623,0.426128,0.000005
38.000000,1.005853,0.428623,0.426128,0.000005
39.000000,1.005853,0.428623,0.426128,0.000005
40.000000,1.005853,0.428623,0.426128,0.000005
41.000000,1.005853,0.428623,0.426128,0.000005
42.000000,1.005853,0.428623,0.426128,0.000005
43.000000,1.005853,0.428623,0.426128,0.000005
44.000000,1.005877,0.438841,0.436276,0.000008
45.000000,1.005877,0.438841,0.436276,0.000008
46.000000,1.005877,0.438841,0.436276,0.000008
47.000000,1.005877,0.438841,0.436276,0.000008
48.000000,1.006013,0.444052,0.441398,0.000009
49.000000,1.006013,0.444052,0.441398,0.000009
50.000000,1.006013,0.444052,0.441398,0.000009
51.000000,1.006013,0.444052,0.441398,0.000009
52.000000,1.006025,0.449208,0.446517,0.000011
53.000000,1.006025,0.449208,0.446517,0.000011
54.000000,1.006025,0.449208,0.446517,0.000011
55.000000,1.006025,0.449208,0.446517,0.000011
56.000000,1.006025,0.449208,0.446517,0.000011
57.000000,1.006025,0.449208,0.446517,0.000011
58.000000,1.006025,0.449208,0.446517,0.000011
59.000000,1.006025,0.449208,0.446517,0.000011
60.000000,1.006025,0.449208,0.446517,0.000011
61.000000,1.006025,0.449208,0.446517,0.000011
62.000000,1.006025,0.449208,0.446517,0.000011
63.000000,1.006025,0.449208,0.446517,0.000011
64.000000,1.006025,0.449208,0.446517,0.000011
65.000000,1.006025,0.449208,0.446517,0.000011
66.000000,1.006711,0.454385,0.451356,0.000015
67.000000,1.006711,0.454385,0.451356,0.000015
68.000000,1.006711,0.454385,0.451356,0.000015
69.000000,1.006711,0.454385,0.451356,0.000015
70.000000,1.006711,0.454385,0.451356,0.000015
71.000000,1.006711,0.454385,0.451356,0.000015
72.000000,1.006711,0.454385,0.451356,0.000015
73.000000,1.006711,0.454385,0.451356,0.000015
74.000000,1.006711,0.454385,0.451356,0.000015
75.000000,1.006711,0.454385,0.451356,0.000015
76.000000,1.006711,0.454385,0.451356,0.000015
77.000000,1.006711,0.454385,0.451356,0.000015
78.000000,1.006711,0.454385,0.451356,0.000015
79.000000,1.006711,0.454385,0.451356,0.000015
80.000000,1.006711,0.454385,0.451356,0.000015
81.000000,1.006711,0.454385,0.451356,0.000015
82.000000,1.006711,0.454385,0.451356,0.000015
83.000000,1.006711,0.454385,0.451356,0.000015
84.000000,1.006711,0.454385,0.451356,0.000015
85.000000,1.006711,0.454385,0.451356,0.000015
86.000000,1.006711,0.454385,0.451356,0.000015
87.000000,1.006711,0.454385,0.451356,0.000015
88.000000,1.006711,0.454385,0.451356,0.000015
89.000000,1.006722,0.458718,0.455655,0.000020
90.000000,1.006722,0.458718,0.455655,0.000020
91.000000,1.006722,0.458718,0.455655,0.000020
92.000000,1.006722,0.458718,0.455655,0.000020
93.000000,1.006722,0.458718,0.455655,0.000020
94.000000,1.006722,0.458718,0.455655,0.000020
95.000000,1.006722,0.458718,0.455655,0.000020
96.000000,1.006727,0.460815,0.457736,0.000023
97.000000,1.006727,0.460815,0.457736,0.000023
98.000000,1.006727,0.460815,0.457736,0.000023
99.000000,1.006727,0.460815,0.457736,0.000023
100.000000,1.006727,0.460815,0.457736,0.000023
101.000000,1.006700,0.488858,0.485605,0.000061
102.000000,1.006667,0.498104,0.494805,0.000068
103.000000,1.006836,0.505316,0.501885,0.000073
104.000000,1.006836,0.505316,0.501885,0.000073
105.000000,1.006725,0.510171,0.506763,0.000085
106.000000,1.006725,0.510171,0.506763,0.000085
107.000000,1.006725,0.510171,0.506763,0.000085
108.000000,1.006966,0.524982,0.521350,0.000095
109.000000,1.006966,0.524982,0.521350,0.000095
110.000000,1.006966,0.524982,0.521350,0.000095
111.000000,1.006966,0.524982,0.521350,0.000095
112.000000,1.006966,0.524982,0.521350,0.000095
113.000000,1.006966,0.524982,0.521350,0.000095
114.000000,1.006966,0.524982,0.521350,0.000095
115.000000,1.006966,0.524982,0.521350,0.000095
116.000000,1.006966,0.524982,0.521350,0.000095
117.000000,1.006966,0.524982,0.521350,0.000095
118.000000,1.006966,0.524982,0.521350,0.000095
119.000000,1.006886,0.529643,0.526021,0.000101
120.000000,1.006886,0.529643,0.526021,0.000101
121.000000,1.006886,0.529643,0.526021,0.000101
122.000000,1.009606,0.551444,0.546197,0.000170
123.000000,1.010601,0.554564,0.548746,0.000177
124.000000,1.010601,0.554564,0.548746,0.000177
125.000000,1.010601,0.554564,0.548746,0.000177
126.000000,1.010601,0.554564,0.548746,0.000177
127.000000,1.011029,0.559843,0.553735,0.000183
128.000000,1.012884,0.566103,0.558902,0.000209
129.000000,1.012884,0.566103,0.558902,0.000209
130.000000,1.012884,0.566103,0.558902,0.000209
131.000000,1.012884,0.566103,0.558902,0.000209
132.000000,1.012884,0.566103,0.558902,0.000209
133.000000,1.012884,0.566103,0.558902,0.000209
134.000000,1.012884,0.566103,0.558902,0.000209
135.000000,1.012884,0.566103,0.558902,0.000209
136.000000,1.012361,0.575799,0.568768,0.000242
137.000000,1.012361,0.575799,0.568768,0.000242
138.000000,1.012361,0.575799,0.568768,0.000242
139.000000,1.012361,0.575799,0.568768,0.000242
140.000000,1.012361,0.575799,0.568768,0.000242
141.000000,1.012361,0.575799,0.568768,0.000242
142.000000,1.012361,0.575799,0.568768,0.000242
143.000000,1.012361,0.575799,0.568768,0.000242
144.000000,1.012361,0.575799,0.568768,0.000242
145.000000,1.012634,0.580730,0.573485,0.000273
146.000000,1.012634,0.580730,0.573485,0.000273
147.000000,1.012634,0.580730,0.573485,0.000273
148.000000,1.012634,0.580730,0.573485,0.000273
149.000000,1.012634,0.580730,0.573485,0.000273
150.000000,1.012634,0.580730,0.573485,0.000273
151.000000,1.012634,0.580730,0.573485,0.000273
152.000000,1.012634,0.580730,0.573485,0.000273
153.000000,1.013430,0.585745,0.577983,0.000288
154.000000,1.012261,0.594340,0.587141,0.000314
155.000000,1.012261,0.594340,0.587141,0.000314
156.000000,1.012261,0.594340,0.587141,0.000314
157.000000,1.012261,0.594340,0.587141,0.000314
158.000000,1.012448,0.601422,0.594027,0.000330
159.000000,1.012448,0.601422,0.594027,0.000330
160.000000,1.012448,0.601422,0.594027,0.000330
161.000000,1.012448,0.601422,0.594027,0.000330
162.000000,1.012448,0.601422,0.594027,0.000330
163.000000,1.012448,0.601422,0.594027,0.000330
164.000000,1.012448,0.601422,0.594027,0.000330
165.000000,1.012448,0.601422,0.594027,0.000330
166.000000,1.012448,0.601422,0.594027,0.000330
167.000000,1.012448,0.601422,0.594027,0.000330
168.000000,1.012446,0.610354,0.602851,0.000368
169.000000,1.012446,0.610354,0.602851,0.000368
170.000000,1.012446,0.610354,0.602851,0.000368
171.000000,1.012446,0.610354,0.602851,0.000368
172.000000,1.012446,0.610354,0.602851,0.000368
173.000000,1.012446,0.610354,0.602851,0.000368
174.000000,1.011618,0.614081,0.607028,0.000369
175.000000,1.011618,0.614081,0.607028,0.000369
176.000000,1.010661,0.622024,0.615463,0.000387
177.000000,1.010661,0.622024,0.615463,0.000387
178.000000,1.010661,0.622024,0.615463,0.000387
179.000000,1.010661,0.622024,0.615463,0.000387
180.000000,1.010661,0.622024,0.615463,0.000387
181.000000,1.010661,0.622024,0.615463,0.000387
182.000000,1.010661,0.622024,0.615463,0.000387
183.000000,1.010661,0.622024,0.615463,0.000387
184.000000,1.010661,0.622024,0.615463,0.000387
185.000000,1.010661,0.622024,0.615463,0.000387
186.000000,1.010661,0.622024,0.615463,0.000387
187.000000,1.010661,0.622024,0.615463,0.000387
188.000000,1.010174,0.626619,0.620308,0.000414
189.000000,1.010174,0.626619,0.620308,0.000414
190.000000,1.010174,0.626619,0.620308,0.000414
191.000000,1.009394,0.634850,0.628942,0.000498
192.000000,1.009394,0.634850,0.628942,0.000498
193.000000,1.010857,0.639818,0.632946,0.000513
194.000000,1.017609,0.658797,0.647397,0.000567
195.000000,1.017609,0.658797,0.647397,0.000567
196.000000,1.016949,0.660452,0.649444,0.000562
197.000000,1.016949,0.660452,0.649444,0.000562
198.000000,1.018462,0.663530,0.651502,0.000574
199.000000,1.018462,0.663530,0.651502,0.000574
200.000000,1.018462,0.663530,0.651502,0.000574
201.000000,1.018462,0.663530,0.651502,0.000574
202.000000,1.017923,0.665193,0.653481,0.000579
203.000000,1.017068,0.670698,0.659442,0.000592
204.000000,1.034508,0.701782,0.678373,0.000741
205.000000,1.042078,0.713874,0.685048,0.000742
206.000000,1.042078,0.713874,0.685048,0.000742
207.000000,1.042515,0.716519,0.687299,0.000761
208.000000,1.043147,0.721541,0.691696,0.000802
209.000000,1.040513,0.729122,0.700733,0.000889
210.000000,1.040513,0.729122,0.700733,0.000889
211.000000,1.038776,0.732607,0.705260,0.000947
212.000000,1.038424,0.737453,0.710165,0.000983
213.000000,1.045146,0.747205,0.714929,0.001039
214.000000,1.044272,0.752009,0.720127,0.001073
215.000000,1.047709,0.757047,0.722574,0.001125
216.000000,1.047709,0.757047,0.722574,0.001125
217.000000,1.081122,0.802417,0.742208,0.001323
218.000000,1.081122,0.802417,0.742208,0.001323
219.000000,1.078262,0.805755,0.747272,0.001346
220.000000,1.075919,0.809584,0.752458,0.001384
221.000000,1.081358,0.816445,0.755018,0.001365
222.000000,1.077466,0.819127,0.760234,0.001443
223.000000,1.079234,0.826384,0.765714,0.001508
224.000000,1.077683,0.828013,0.768327,0.001512
225.000000,1.080171,0.836732,0.774630,0.001627
226.000000,1.080171,0.836732,0.774630,0.001627
227.000000,1.078022,0.841166,0.780287,0.001699
228.000000,1.078022,0.841166,0.780287,0.001699
229.000000,1.078022,0.841166,0.780287,0.001699
230.000000,1.078022,0.841166,0.780287,0.001699
231.000000,1.078022,0.841166,0.780287,0.001699
232.000000,1.078022,0.841166,0.780287,0.001699
233.000000,1.076922,0.846095,0.785661,0.001695
234.000000,1.076922,0.846095,0.785661,0.001695
235.000000,1.076922,0.846095,0.785661,0.001695
236.000000,1.082888,0.853548,0.788215,0.001699
237.000000,1.081010,0.857790,0.793508,0.001737
238.000000,1.081010,0.857790,0.793508,0.001737
239.000000,1.078220,0.861019,0.798556,0.001803
240.000000,1.078220,0.861019,0.798556,0.001803
241.000000,1.078220,0.861019,0.798556,0.001803
242.000000,1.078220,0.861019,0.798556,0.001803
243.000000,1.078220,0.861019,0.798556,0.001803
244.000000,1.075014,0.863695,0.803426,0.001915
245.000000,1.072742,0.867227,0.808420,0.001968
246.000000,1.072742,0.867227,0.808420,0.001968
247.000000,1.078324,0.882980,0.818845,0.002123
248.000000,1.078324,0.882980,0.818845,0.002123
249.000000,1.078324,0.882980,0.818845,0.002123
250.000000,1.086537,0.892455,0.821375,0.002111
251.000000,1.086537,0.892455,0.821375,0.002111
252.000000,1.086537,0.892455,0.821375,0.002111
253.000000,1.086537,0.892455,0.821375,0.002111
254.000000,1.086537,0.892455,0.821375,0.002111
255.000000,1.082553,0.899879,0.831256,0.002065
256.000000,1.077951,0.901977,0.836751,0.002025
257.000000,1.077951,0.901977,0.836751,0.002025
258.000000,1.077951,0.901977,0.836751,0.002025
259.000000,1.077951,0.901977,0.836751,0.002025
260.000000,1.077951,0.901977,0.836751,0.002025
261.000000,1.077951,0.901977,0.836751,0.002025
262.000000,1.077951,0.901977,0.836751,0.002025
263.000000,1.077951,0.901977,0.836751,0.002025
264.000000,1.077951,0.901977,0.836751,0.002025
265.000000,1.073577,0.903193,0.841293,0.002062
266.000000,1.067791,0.908990,0.851281,0.002195
267.000000,1.067791,0.908990,0.851281,0.002195
268.000000,1.067791,0.908990,0.851281,0.002195
269.000000,1.067791,0.908990,0.851281,0.002195
270.000000,1.067791,0.908990,0.851281,0.002195
271.000000,1.067791,0.908990,0.851281,0.002195
272.000000,1.066756,0.910534,0.853554,0.002260
273.000000,1.066756,0.910534,0.853554,0.002260
274.000000,1.068780,0.917311,0.858279,0.002400
275.000000,1.068780,0.917311,0.858279,0.002400
276.000000,1.067165,0.918421,0.860617,0.002482
277.000000,1.067165,0.918421,0.860617,0.002482
278.000000,1.067165,0.918421,0.860617,0.002482
