Degree,Phi_norm,Phi,Phi_rand,Stdev
1.000000,1.000000,0.239181,0.239181,0.000000
2.000000,1.000000,0.239181,0.239181,0.000000
3.000000,1.000000,0.239181,0.239181,0.000000
4.000000,1.000092,0.245497,0.245475,0.000000
5.000000,1.000092,0.245497,0.245475,0.000000
6.000000,1.000092,0.248694,0.248672,0.000000
7.000000,1.000092,0.248694,0.248672,0.000000
8.000000,1.000092,0.248694,0.248672,0.000000
9.000000,1.000184,0.250306,0.250259,0.000000
10.000000,1.000184,0.250306,0.250259,0.000000
11.000000,1.000184,0.253483,0.253436,0.000000
12.000000,1.000184,0.253483,0.253436,0.000000
13.000000,1.000369,0.256725,0.256630,0.000000
14.000000,1.000462,0.258358,0.258239,0.000000
15.000000,1.000462,0.261602,0.261481,0.000001
16.000000,1.000462,0.261602,0.261481,0.000001
17.000000,1.000925,0.264986,0.264741,0.000002
18.000000,1.000925,0.264986,0.264741,0.000002
19.000000,1.002319,0.275410,0.274772,0.000006
20.000000,1.002319,0.275410,0.274772,0.000006
21.000000,1.002319,0.275410,0.274772,0.000006
22.000000,1.003813,0.279238,0.278177,0.000007
23.000000,1.004656,0.281196,0.279893,0.000007
24.000000,1.007659,0.287292,0.285108,0.000011
25.000000,1.007659,0.287292,0.285108,0.000011
26.000000,1.007659,0.287292,0.285108,0.000011
27.000000,1.007693,0.298060,0.295785,0.000015
28.000000,1.007693,0.298060,0.295785,0.000015
29.000000,1.007693,0.298060,0.295785,0.000015
30.000000,1.007704,0.301717,0.299410,0.000017
31.000000,1.007704,0.301717,0.299410,0.000017
32.000000,1.007704,0.301717,0.299410,0.000017
33.000000,1.008092,0.305479,0.303027,0.000019
34.000000,1.008092,0.305479,0.303027,0.000019
35.000000,1.008092,0.305479,0.303027,0.000019
36.000000,1.008291,0.309175,0.306633,0.000020
37.000000,1.008295,0.311008,0.308449,0.000022
38.000000,1.008295,0.311008,0.308449,0.000022
39.000000,1.008295,0.311008,0.308449,0.000022
40.000000,1.008295,0.311008,0.308449,0.000022
41.000000,1.008295,0.311008,0.308449,0.000022
42.000000,1.008295,0.311008,0.308449,0.000022
43.000000,1.008284,0.312771,0.310201,0.000026
44.000000,1.008284,0.312771,0.310201,0.000026
45.000000,1.008284,0.312771,0.310201,0.000026
46.000000,1.008284,0.312771,0.310201,0.000026
47.000000,1.008203,0.327041,0.324380,0.000049
48.000000,1.008203,0.327041,0.324380,0.000049
49.000000,1.008203,0.327041,0.324380,0.000049
50.000000,1.007836,0.362899,0.360078,0.000089
51.000000,1.007836,0.362899,0.360078,0.000089
52.000000,1.007836,0.362899,0.360078,0.000089
53.000000,1.008064,0.365158,0.362237,0.000094
54.000000,1.008751,0.369791,0.366583,0.000103
55.000000,1.008751,0.369791,0.366583,0.000103
56.000000,1.008751,0.369791,0.366583,0.000103
